CITY_LIST
'Phoenix', 'Tucson'
'New York', 'Yonkers', 'Buffalo'
'Cincinnati', 'Hamilton', 'Columbus'
'Portland', 'Beaverton', 'Salem'
'Philadelphia', 'Allentown', 'Pittsburgh'
'Nashville', 'Franklin', 'Memphis'
'Austin', 'Round Rock', 'Houston'
'Salt Lake City', 'Ogden', 'Denver'
'Burlington', 'Rutland', 'Boston'
'Seattle', 'Bellevue', 'Spokane'
'Madison', 'Appleton', 'Milwaukee'
'Phoenix', 'Mesa', 'Scottsdale'
'Los Angeles', 'Long Beach', 'Santa Monica'
'Miami', 'Hialeah', 'Orlando'
'Chicago', 'Evanston', 'Peoria'
'Indianapolis', 'Carmel', 'Fort Wayne'
'Des Moines', 'Ames', 'Iowa City'
'Boston', 'Quincy', 'Springfield'
'Detroit', 'Dearborn', 'Grand Rapids'
'Minneapolis', 'Bloomington', 'St. Paul'
'Lincoln', 'Bellevue', 'Omaha'
'Albuquerque', 'Rio Rancho', 'Santa Fe'
'Las Vegas', 'North Las Vegas', 'Reno'
'New York', 'Brooklyn', 'Queens'
'Cincinnati', 'Norwood', 'Columbus'
'Portland', 'Gresham', 'Salem'
'Philadelphia', 'Camden', 'Pittsburgh'
'Nashville', 'Brentwood', 'Memphis'
'Austin', 'Georgetown', 'San Antonio'
'Salt Lake City', 'West Valley City', 'Denver'
'Burlington', 'South Burlington', 'Boston'
'Seattle', 'Tacoma', 'Spokane'
'Madison', 'Janesville', 'Milwaukee'
'Phoenix', 'Tempe', 'Scottsdale', 'Tucson'
'Los Angeles', 'San Diego', 'San Francisco', 'Sacramento'
'Miami', 'Tampa', 'Orlando', 'Atlanta'
'Chicago', 'Detroit', 'Indianapolis', 'Columbus'
'Boston', 'New York', 'Philadelphia', 'Washington'
'Dallas', 'Houston', 'Austin', 'San Antonio', 'El Paso'
'Seattle', 'Portland', 'San Francisco', 'Los Angeles'
'Las Vegas', 'Phoenix', 'Albuquerque', 'Denver'
'Atlanta', 'Charlotte', 'Nashville', 'Memphis'
'San Francisco', 'Sacramento', 'Portland', 'Seattle'
'Boston', 'Worcester', 'Providence', 'Hartford'
'Detroit', 'Cleveland', 'Pittsburgh', 'Philadelphia'
'Minneapolis', 'St. Paul', 'Madison', 'Chicago'
'Kansas City', 'St. Louis', 'Nashville', 'Memphis'
'Charlotte', 'Raleigh', 'Atlanta', 'Jacksonville'
'Albuquerque', 'Phoenix', 'Las Vegas', 'San Diego'
'Las Vegas', 'Los Angeles', 'San Francisco', 'Portland'
'New York', 'Boston', 'Philadelphia', 'Pittsburgh'
'Cincinnati', 'Columbus', 'Cleveland', 'Detroit'
'Portland', 'Seattle', 'Spokane', 'Boise'
'Philadelphia', 'Pittsburgh', 'Cleveland', 'Columbus'
'Nashville', 'Memphis', 'St. Louis', 'Kansas City'
'Austin', 'Dallas', 'Houston', 'New Orleans'
'Salt Lake City', 'Denver', 'Boulder', 'Albuquerque'
'Burlington', 'Boston', 'New York', 'Philadelphia'
'Seattle', 'Portland', 'San Francisco', 'Los Angeles', 'San Diego'
'Madison', 'Milwaukee', 'Chicago', 'Detroit', 'Cleveland'
'Phoenix', 'Tucson', 'Albuquerque', 'Denver', 'Salt Lake City'
'San Jose', 'San Francisco', 'Sacramento', 'Portland', 'Seattle'
'Miami', 'Tampa', 'Orlando', 'Jacksonville', 'Atlanta'
'Chicago', 'Indianapolis', 'Cincinnati', 'Columbus', 'Cleveland'
'Boston', 'Worcester', 'Providence', 'New York', 'Philadelphia'
'Detroit', 'Cleveland', 'Pittsburgh', 'Columbus', 'Cincinnati'
'Minneapolis', 'St. Paul', 'Madison', 'Milwaukee', 'Chicago'
'Lincoln', 'Omaha', 'Kansas City', 'St. Louis', 'Memphis'
'Albuquerque', 'Phoenix', 'Tucson', 'Las Vegas', 'San Diego'
'Las Vegas', 'Los Angeles', 'San Diego', 'San Francisco', 'Sacramento'
'New York', 'Buffalo', 'Rochester', 'Boston', 'Philadelphia'
'Cincinnati', 'Columbus', 'Cleveland', 'Pittsburgh', 'Philadelphia'
'Portland', 'Salem', 'Seattle', 'Spokane', 'Boise'
'Philadelphia', 'Pittsburgh', 'Cleveland', 'Columbus', 'Cincinnati'
'Nashville', 'Memphis', 'Atlanta', 'Charlotte', 'Raleigh'
'Austin', 'Dallas', 'Houston', 'San Antonio', 'Oklahoma City'
'Salt Lake City', 'Denver', 'Boulder', 'Fort Collins', 'Cheyenne'
'Burlington', 'Boston', 'Worcester', 'Providence', 'Hartford'
'Seattle', 'Portland', 'Salem', 'Eugene', 'Medford'
'Madison', 'Milwaukee', 'Green Bay', 'Minneapolis', 'St. Paul'
'Phoenix', 'Scottsdale', 'Tempe', 'Mesa', 'Chandler'
'Los Angeles', 'Long Beach', 'Anaheim', 'Santa Ana', 'Irvine'
'Miami', 'Fort Lauderdale', 'West Palm Beach', 'Orlando', 'Tampa'
'Chicago', 'Aurora', 'Naperville', 'Joliet', 'Elgin'
'Indianapolis', 'Carmel', 'Fishers', 'Fort Wayne', 'South Bend'
'Des Moines', 'Cedar Rapids', 'Davenport', 'Iowa City', 'Ames'
'Boston', 'Cambridge', 'Lowell', 'Worcester', 'Springfield'
'Detroit', 'Ann Arbor', 'Flint', 'Grand Rapids', 'Lansing'
'Minneapolis', 'St. Paul', 'Rochester', 'Duluth', 'Bloomington'
'Lincoln', 'Omaha', 'Grand Island', 'Kearney', 'Fremont'
